Livestock,Area,Year,Value,Flags
"Total pigs","Total New Zealand","As at June 30 1994",422766,
"Total pigs","Total New Zealand","As at June 30 2002",342015,
"Total pigs","Total New Zealand","As at June 30 2003",377249,
"Total pigs","Total New Zealand","As at June 30 2004",388640,
"Total pigs","Total New Zealand","As at June 30 2005",341465,
"Total pigs","Total New Zealand","As at June 30 2006",355501,
"Total pigs","Total New Zealand","As at June 30 2007",366671,
"Total pigs","Total New Zealand","As at June 30 2008",324594,
"Total pigs","Total New Zealand","As at June 30 2009",322788,
"Total pigs","Total New Zealand","As at June 30 2010",335114,
"Total pigs","Total New Zealand","As at June 30 2011",326788,
"Total pigs","Total New Zealand","As at June 30 2012",313703,
"Total pigs","Total New Zealand","As at June 30 2013",297724,
"Total pigs","Total New Zealand","As at June 30 2014",286971,
"Total pigs","Total New Zealand","As at June 30 2015",268300,
"Total pigs","Total New Zealand","As at June 30 2016",254607,
"Total pigs","Total New Zealand","As at June 30 2017",273860,
"Piglets weaned","Total New Zealand","As at June 30 2003",778708,
"Piglets weaned","Total New Zealand","As at June 30 2004",803691,
"Piglets weaned","Total New Zealand","As at June 30 2005",731131,
"Piglets weaned","Total New Zealand","As at June 30 2006",757448,
"Piglets weaned","Total New Zealand","As at June 30 2007",787756,
"Piglets weaned","Total New Zealand","As at June 30 2008",763059,
"Piglets weaned","Total New Zealand","As at June 30 2009",725737,
"Piglets weaned","Total New Zealand","As at June 30 2010",722666,
"Piglets weaned","Total New Zealand","As at June 30 2011",748922,
"Piglets weaned","Total New Zealand","As at June 30 2012",733425,
"Piglets weaned","Total New Zealand","As at June 30 2013",662466,
"Piglets weaned","Total New Zealand","As at June 30 2014",636922,
"Piglets weaned","Total New Zealand","As at June 30 2015",571223,
"Piglets weaned","Total New Zealand","As at June 30 2016",562173,
"Piglets weaned","Total New Zealand","As at June 30 2017",614787,
"Total horses","Total New Zealand","As at June 30 1994",67843,
"Total horses","Total New Zealand","As at June 30 2002",75856,
"Total horses","Total New Zealand","As at June 30 2003",80397,
"Total horses","Total New Zealand","As at June 30 2004",76918,
"Total horses","Total New Zealand","As at June 30 2007",66215,
"Total horses","Total New Zealand","As at June 30 2008",62511,
"Total horses","Total New Zealand","As at June 30 2009",65149,
"Total horses","Total New Zealand","As at June 30 2010",64105,
"Total horses","Total New Zealand","As at June 30 2011",56505,
"Total horses","Total New Zealand","As at June 30 2012",56878,
"Total horses","Total New Zealand","As at June 30 2013",57427,
"Total horses","Total New Zealand","As at June 30 2014",51611,
"Total horses","Total New Zealand","As at June 30 2015",40935,
"Total horses","Total New Zealand","As at June 30 2016",48801,
"Total horses","Total New Zealand","As at June 30 2017",43684,
